9,27.12,25.99,11,4
-21,24.2,30.26,285,4
38,25.58,23.15,55,3
34,28.84,18.1,18,3
17,23.77,22.27,44,4
29,23.31,30.38,328,3
32,25.07,28.56,1101,3
30,23.86,26.41,6,2
30,24.64,12.68,140,4
31,28.91,20.07,60,4
32,24.01,30.24,452,4
29,25.16,31.71,156,4
17,23.98,30.05,114,3
34,24.4,29.64,64,4
27,25.16,28.32,162,4
37,22.95,22.24,9,4
31,26.45,26.61,274,4
31,24.81,30.42,5,3
30,26.99,26.11,33,4
20,25.95,22.55,171,3
33,26.13,22.63,137,4
20,26.46,26.62,18,3
20,25.95,22.55,171,3
31,23.71,29.65,31,3
9,31.98,33.25,26,4
29,25.1,23.2,77,4
17,26.51,24.25,219,4
30,24.63,48.1,196,4
37,24.16,25.73,101,4
30,27.62,22.09,60,4
11,19.92,32.55,25,3
18,19.95,34.52,3,2
8,24.45,24.88,167,2
12,26.72,26.42,422,3
32,12.12,38.73,4,5
28,22.91,25.16,25,4
11,24.28,25.31,509,3
34,25.56,31.32,85,4
47,24.22,30.2,806,4
29,24.85,46.32,170,3
2,22.94,28.18,32,3
8,19.6,33.47,345,4
33,25.4,28.12,175,4
22,25.63,31.62,29,3
7,23.25,22.29,73,3
29,23.87,44.66,25,4
32,25.1,23.35,197,3
31,24.23,30.21,677,4
35,32.42,31.56,86,4
27,23.87,32.0,78,4
15,23.26,19.37,77,4
9,32.95,30.81,8,3
11,23.66,25.38,19,3
10,23.92,44.82,49,3
30,24.41,30.03,169,3
30,25.35,28.23,20,4
7,22.88,27.81,169,4
31,27.86,25.52,54,4
37,24.6,31.69,52,4
29,25.63,33.24,94,5
35,24.65,29.17,126,3
28,24.18,30.23,72,4
17,34.14,30.85,16,3
32,24.4,29.7,335,4
32,26.52,25.68,50,4
31,21.13,30.73,44,3
47,24.22,30.2,806,4
39,24.57,24.9,81,4
32,25.34,31.05,131,4
25,25.06,45.93,129,3
32,24.55,31.13,364,3
28,24.42,25.34,95,4
13,23.34,30.44,121,2
30,36.96,32.17,49,3
30,20.51,33.01,28,3
33,25.15,2.92,5,3
8,27.39,25.83,169,3
10,22.81,27.28,169,3
26,23.24,31.51,211,4
30,24.6,29.35,572,4
15,23.86,44.61,147,3
29,23.1,30.75,38,3
47,24.22,30.2,806,4
11,25.15,31.8,49,4
24,22.82,27.58,126,4
1,25.63,48.26,18,2
15,24.31,30.11,1476,4
17,14.27,35.59,4,2
31,24.07,29.41,79,3
28,23.89,25.52,104,3
30,22.19,22.88,21,2
